Dato,Forklaring,Rentedato,Ut fra konto,Inn på konto
4/26/2026,Varekjøp i butikk FUGLEN COFFEE R       O Reservert transaksjon ,4/27/2026,68.00,
4/25/2026,Visa Varekjøp Vipps*Ruter Reservert transaksjon ,4/27/2026,46.00,
4/25/2026,Varekjøp i butikk ESSO SKÅRER           L Reservert transaksjon ,4/27/2026,190.00,
4/25/2026,Betaling  Reservert transaksjon ,4/27/2026,115.00,
4/25/2026,Overføring mobilbank  Reservert transaksjon ,4/27/2026,,500.00
4/25/2026,Betaling  Reservert transaksjon ,4/27/2026,122.00,
4/25/2026,Varekjøp i butikk JOKER VESTPARKE       R Reservert transaksjon ,4/27/2026,24.90,
4/25/2026,Varekjøp i butikk KIWI 382 MARKVE       O Reservert transaksjon ,4/27/2026,23.90,
4/24/2026,Varekjøp i butikk PALAZZO PIZZERI       O Reservert transaksjon ,4/27/2026,179.00,
4/24/2026,Varekjøp i butikk MATKROKEN SCHWE       O Reservert transaksjon ,4/27/2026,31.90,
4/23/2026,Varekjøp Matkroken Schwe Schweigaards Oslo Dato 23.04 kl. 16.28 ,4/24/2026,176.90,
4/23/2026,Kontoregulering  398 Mobil Overføring  ,4/24/2026,,200.00
4/22/2026,Visa  100021  Luka Bar B6qpjjge ,4/23/2026,112.00,
4/22/2026,Kontoregulering  397 Mobil Overføring  ,4/23/2026,,500.00
4/22/2026,Varekjøp Panduro Karl Johans Oslo Dato 22.04 kl. 10.19 ,4/22/2026,154.80,
4/22/2026,Overføring  4536625561 Ylva Remmen Tpp: Vipps Mobilepay AS ,4/23/2026,130.00,
4/21/2026,Varekjøp Rema Vulkan Maridalsveie Oslo Dato 21.04 kl. 17.43 ,4/22/2026,230.46,
4/21/2026,Kontoregulering  396 Mobil Overføring  ,4/22/2026,,500.00
4/21/2026,Visa  100021  Tv 2 No O-16614601 ,4/21/2026,298.00,
4/21/2026,Varekjøp Hakone Coffee s Storgata 23 Oslo Dato 21.04 kl. 08.52 ,4/21/2026,60.00,
4/20/2026,Varekjøp Rema Vulkan Maridalsveie Oslo Dato 20.04 kl. 18.25 ,4/21/2026,159.00,
4/20/2026,Varekjøp Rema Vulkan Maridalsveie Oslo Dato 20.04 kl. 17.33 ,4/21/2026,35.39,
4/20/2026,Kontoregulering  395 Mobil Overføring  ,4/21/2026,,600.00
4/18/2026,Visa  100421  Luka Bar B9ql5gk4 ,4/20/2026,112.00,
4/18/2026,Visa  100321  Luka Bar Bnw83555 ,4/20/2026,112.00,
4/18/2026,Varekjøp Palazzo Pizzeri Thorvald Mey Oslo Dato 18.04 kl. 20.02 ,4/20/2026,179.00,
4/18/2026,Overføring Innland  685 Martine Aas Mekiassen Betaling Tpp: Vipps Mobilepay AS,4/20/2026,500.00,
4/17/2026,"Visa  100122  Usd 25,00 Claude.ai Subscript Valutakurs: 9,6280",4/20/2026,240.70,
4/17/2026,Visa  100221  Vipps:ruter ,4/20/2026,46.00,
4/17/2026,Visa  100021  Vipps:ruter ,4/20/2026,46.00,
4/17/2026,Varekjøp Kiwi 382 Markve Markvn 35b Oslo Dato 17.04 kl. 16.32 ,4/20/2026,24.40,
4/16/2026,Varekjøp Bunnpris Holber Holbergs Gat Oslo Dato 16.04 kl. 16.59 ,4/17/2026,10.00,
4/16/2026,Varekjøp Rema Storgata Storgata 22 Oslo Dato 16.04 kl. 16.46 ,4/17/2026,41.67,
4/16/2026,Varekjøp Paradis Avd Kar Karl Johans Oslo Dato 16.04 kl. 18.22 ,4/17/2026,140.00,
4/16/2026,Varekjøp Kiwi 382 Markve Markvn 35b Oslo Dato 16.04 kl. 08.48 ,4/16/2026,28.40,
4/15/2026,"Visa  100122  Usd 6,25 Anthropic Ireland Valutakurs: 9,6784",4/16/2026,60.49,
4/15/2026,Visa  100021  Zettle_:novooi AS ,4/16/2026,"1,500.00",
4/15/2026,Varekjøp Rema Vulkan Maridalsveie Oslo Dato 15.04 kl. 17.08 ,4/16/2026,28.40,
4/15/2026,Varekjøp Matkroken Schwe Schweigaards Oslo Dato 15.04 kl. 16.38 ,4/16/2026,176.90,
4/15/2026,Varekjøp Clas Ohlson Osl Stenersgata Oslo Dato 15.04 kl. 09.05 ,4/15/2026,799.80,
4/14/2026,Visa  100031  Vipps:vipps:eirik Jorstad ,4/15/2026,,"1,500.00"
4/14/2026,Varekjøp Palazzo Pizzeri Thorvald Mey Oslo Dato 14.04 kl. 20.03 ,4/15/2026,179.00,
4/14/2026,Varekjøp Fuglen Coffee r St. Halvards Oslo Dato 14.04 kl. 08.57 ,4/14/2026,51.20,
4/10/2026,Varekjøp Rema Vulkan Maridalsveie Oslo Dato 10.04 kl. 16.49 ,4/13/2026,28.40,
4/9/2026,"Visa  100022  Eur 23,00 Openai :chatgpt Sub Valutakurs: 11,4739",4/10/2026,263.90,
4/9/2026,Varekjøp Matkroken Schwe Schweigaards Oslo Dato 09.04 kl. 16.22 ,4/10/2026,176.90,
4/9/2026,Varekjøp Kaffebrenneriet Thorwald Mgt Oslo Dato 09.04 kl. 09.22 ,4/9/2026,51.00,
4/8/2026,Varekjøp Rema Vulkan Maridalsveie Oslo Dato 08.04 kl. 17.08 ,4/9/2026,34.17,
4/8/2026,Varekjøp Clas Ohlson Osl Stenersgata Oslo Dato 08.04 kl. 08.54 ,4/8/2026,159.80,
4/7/2026,Varekjøp Rema Vulkan Maridalsveie Oslo Dato 07.04 kl. 18.09 ,4/8/2026,288.78,
4/7/2026,Varekjøp Extra St. Halva St. Halvards Oslo Dato 07.04 kl. 16.34 ,4/8/2026,27.90,
4/7/2026,"Visa  100722  Nok 44,00 Apple.com/bill ",4/7/2026,44.00,
4/7/2026,Varekjøp Fuglen Coffee r St. Halvards Oslo Dato 07.04 kl. 09.15 ,4/7/2026,68.00,
4/6/2026,Overføring Innland  1260 Kenny Huynh  ,4/7/2026,,119.00
4/5/2026,Visa  100621  Vipps:ruter ,4/7/2026,46.00,
4/5/2026,Visa  100521  Vipps:ruter ,4/7/2026,46.00,
4/5/2026,Varekjøp Asma Selskap AS Jonas Lies g Lilles Dato 05.04 kl. 17.59 ,4/7/2026,49.00,
4/5/2026,Varekjøp Bunnpris Løren Peter Møller Oslo Dato 05.04 kl. 14.51 ,4/7/2026,156.80,
4/5/2026,Kontoregulering  382 Overføring Mellom Egne Konti  ,4/7/2026,,"2,000.00"
4/4/2026,Visa  100421  Vipps:ruter ,4/7/2026,46.00,
4/4/2026,Visa  100321  Vipps:ruter ,4/7/2026,46.00,
4/4/2026,Visa  100221  Vipps:ruter ,4/7/2026,805.00,
4/4/2026,Varekjøp Bake Me Up Oslo Jernbanetorg Oslo Dato 04.04 kl. 17.33 ,4/7/2026,29.00,
4/4/2026,Varekjøp Mirabel Lillest Storgata 8 b Lilles Dato 04.04 kl. 22.47 ,4/7/2026,446.00,
4/4/2026,Varekjøp Asma Selskap AS Jonas Lies g Lilles Dato 04.04 kl. 23.04 ,4/7/2026,208.90,
4/4/2026,Varekjøp Asma Selskap AS Jonas Lies g Lilles Dato 04.04 kl. 17.58 ,4/7/2026,27.90,
4/4/2026,Overføring Innland  774 Linn Siren Stuge Øl ,4/7/2026,,139.00
4/4/2026,Overføring Innland  617 Simen Nygård Haustreis  ,4/7/2026,,69.00
4/4/2026,Overføring Innland  684 Jennifer Than Van Do Betaling Tpp: Vipps Mobilepay AS,4/7/2026,179.10,
4/4/2026,Overføring Innland  683 Kenny Huynh Betaling Tpp: Vipps Mobilepay AS,4/7/2026,133.00,
4/4/2026,Overføring Innland  682 Kenny Huynh Betaling Tpp: Vipps Mobilepay AS,4/7/2026,189.00,
4/3/2026,Varekjøp Bunnpris Løren Peter Møller Oslo Dato 03.04 kl. 19.49 ,4/7/2026,69.93,
4/2/2026,"Visa  100122  Nok 12,00 Apple.com/bill ",4/7/2026,12.00,
4/1/2026,Varekjøp Matkroken Schwe Schweigaards Oslo Dato 01.04 kl. 15.03 ,4/7/2026,208.80,
4/1/2026,Varekjøp Kiwi 382 Markve Markvn 35b Oslo Dato 01.04 kl. 17.48 ,4/7/2026,286.80,
4/1/2026,Giro  679 Studentsamskipnaden Sio Avtalegiro Faktura 700098983,4/1/2026,470.00,
3/31/2026,Kontoregulering  681 Mobil Overføring  ,3/31/2026,"30,000.00",
3/31/2026,Kontoregulering  381 Overføring Mellom Egne Konti  ,3/31/2026,,"35,003.00"
3/30/2026,"Visa  100022  Nok 30,00 Steam Purchase ",4/7/2026,30.00,
3/30/2026,Varekjøp Sio Athletica v Vulkan 15 Oslo Dato 30.03 kl. 15.48 ,3/31/2026,478.00,
3/30/2026,Kontoregulering  390 Mobil Overføring  ,3/31/2026,,500.00
3/30/2026,Varekjøp Rema Vulkan Maridalsveie Oslo Dato 30.03 kl. 14.32 ,3/30/2026,27.90,
3/29/2026,Visa  100121  Vipps:ruter ,3/30/2026,46.00,
