Dato,Forklaring,Rentedato,Ut fra konto,Inn på konto
4/25/2026,Overføring mobilbank  Reservert transaksjon ,4/27/2026,500.00,
4/23/2026,Kontoregulering  398 Mobil Overføring  ,4/24/2026,200.00,
4/22/2026,Kontoregulering  397 Mobil Overføring  ,4/23/2026,500.00,
4/21/2026,Kontoregulering  396 Mobil Overføring  ,4/22/2026,500.00,
4/20/2026,Kontoregulering  395 Mobil Overføring  ,4/21/2026,600.00,
4/19/2026,Lønn  17273820001 Novooi AS  ,4/20/2026,,"27,955.00"
4/13/2026,"Giro  394 Phonero, Telia Norge AS Mobil Betaling ",4/14/2026,389.41,
4/5/2026,Kontoregulering  382 Overføring Mellom Egne Konti  ,4/7/2026,"2,000.00",
3/31/2026,Kontoregulering  681 Mobil Overføring  ,3/31/2026,,"30,000.00"
3/31/2026,Kontoregulering  381 Overføring Mellom Egne Konti  ,3/31/2026,"35,003.00",
3/31/2026,Kontoregulering  380 Overføring Mellom Egne Konti  ,3/31/2026,"10,000.00",
3/30/2026,Kontoregulering  390 Mobil Overføring  ,3/31/2026,500.00,
3/24/2026,"Giro  389 Phonero, Telia Norge AS Mobil Betaling ",3/24/2026,335.00,
3/23/2026,Kontoregulering  388 Mobil Overføring  ,3/24/2026,"5,000.00",
3/21/2026,Kontoregulering  386 Mobil Overføring  ,3/23/2026,100.00,
3/21/2026,Kontoregulering  387 Mobil Overføring  ,3/23/2026,"1,000.00",
3/20/2026,Kontoregulering  385 Mobil Overføring  ,3/23/2026,"1,000.00",
3/17/2026,Giro  384 Lånekassen Efaktura ,3/17/2026,"4,267.00",
3/13/2026,Kontoregulering  383 Mobil Overføring  ,3/16/2026,"5,000.00",
3/5/2026,Lønn  84262300001 Novooi AS  ,3/5/2026,,"17,621.00"
3/1/2026,Kontoregulering  372 Overføring Mellom Egne Konti  ,3/2/2026,"5,000.00",
2/28/2026,Kontoregulering  379 Mobil Overføring  ,3/2/2026,"1,000.00",
2/28/2026,Kontoregulering  370 Overføring Mellom Egne Konti  ,3/2/2026,"10,000.00",
2/26/2026,Kontoregulering  378 Mobil Overføring  ,2/26/2026,500.00,
2/24/2026,Kontoregulering  377 Mobil Overføring  ,2/25/2026,500.00,
2/21/2026,Kontoregulering  376 Mobil Overføring  ,2/23/2026,900.00,
2/18/2026,Kontoregulering  375 Mobil Overføring  ,2/19/2026,"1,500.00",
2/17/2026,Giro  374 Lånekassen Efaktura ,2/17/2026,"4,267.00",
2/17/2026,Giro  373 Innkrevingsmynd.-Mva Mobil Betaling ,2/17/2026,657.00,
2/11/2026,Lønn  88861340001 Novooi AS  ,2/11/2026,,"17,621.00"
2/5/2026,Kontoregulering  369 Overføring Mellom Egne Konti  ,2/5/2026,"2,000.00",
2/1/2026,Kontoregulering  671 Mobil Overføring  ,2/2/2026,,"30,000.00"
